,timeStamp,sales,transactions
311,2013-11-07 00:00:00,4787.7,755
312,2013-11-08 00:00:00,5682.61,871
313,2013-11-09 00:00:00,3548.01,460
314,2013-11-10 00:00:00,2337.36,310
315,2013-11-11 00:00:00,4120.73,688
316,2013-11-12 00:00:00,4581.91,739
317,2013-11-13 00:00:00,4525.08,754
318,2013-11-14 00:00:00,4927.67,781
319,2013-11-15 00:00:00,5698.52,849
320,2013-11-16 00:00:00,2986.0,439
321,2013-11-17 00:00:00,2006.36,278
322,2013-11-18 00:00:00,4414.25,761
323,2013-11-19 00:00:00,4513.78,754
324,2013-11-20 00:00:00,5035.46,799
325,2013-11-21 00:00:00,5085.78,804
326,2013-11-22 00:00:00,5431.68,847
327,2013-11-23 00:00:00,3602.69,517
328,2013-11-24 00:00:00,2243.35,322
329,2013-11-25 00:00:00,4825.16,812
330,2013-11-26 00:00:00,4885.71,810
331,2013-11-27 00:00:00,5077.93,760
332,2013-11-29 00:00:00,3079.93,452
333,2013-11-30 00:00:00,3052.61,429
334,2013-12-01 00:00:00,2143.25,286
335,2013-12-02 00:00:00,4866.59,798
336,2013-12-03 00:00:00,4767.45,765
337,2013-12-04 00:00:00,4735.56,772
338,2013-12-05 00:00:00,4881.99,776
339,2013-12-06 00:00:00,4493.68,707
340,2013-12-07 00:00:00,3319.7,447
341,2013-12-08 00:00:00,2252.83,300
342,2013-12-09 00:00:00,4298.03,731
343,2013-12-10 00:00:00,4769.25,771
344,2013-12-11 00:00:00,4457.0,746
345,2013-12-12 00:00:00,5230.25,823
346,2013-12-13 00:00:00,5438.94,818
347,2013-12-14 00:00:00,3090.33,443
348,2013-12-15 00:00:00,2440.19,325
349,2013-12-16 00:00:00,4299.35,687
350,2013-12-17 00:00:00,4907.48,789
351,2013-12-18 00:00:00,4648.48,774
352,2013-12-19 00:00:00,5394.16,817
353,2013-12-20 00:00:00,5060.85,772
354,2013-12-21 00:00:00,3428.08,476
355,2013-12-22 00:00:00,2452.94,328
356,2013-12-23 00:00:00,5252.48,822
357,2013-12-24 00:00:00,2553.47,408
358,2013-12-26 00:00:00,4032.91,606
359,2013-12-27 00:00:00,4575.54,700
360,2013-12-28 00:00:00,2762.26,411
361,2013-12-29 00:00:00,2183.89,281
362,2013-12-30 00:00:00,4567.7,691
363,2013-12-31 00:00:00,3768.49,563
364,2014-01-01 00:00:00,1453.68,228
365,2014-01-02 00:00:00,3596.61,528
366,2014-01-03 00:00:00,4882.71,741
367,2014-01-04 00:00:00,2937.43,386
368,2014-01-05 00:00:00,229.09,28
369,2014-01-06 00:00:00,0.0,0
370,2014-01-07 00:00:00,2847.2,381
371,2014-01-08 00:00:00,3789.54,567
372,2014-01-09 00:00:00,4272.18,639
373,2014-01-10 00:00:00,4836.95,742
374,2014-01-11 00:00:00,2548.68,367
375,2014-01-12 00:00:00,2160.91,300
376,2014-01-13 00:00:00,3977.56,667
377,2014-01-14 00:00:00,3867.49,672
378,2014-01-15 00:00:00,4187.04,661
379,2014-01-16 00:00:00,3825.39,636
380,2014-01-17 00:00:00,4811.17,741
381,2014-01-18 00:00:00,2234.57,322
382,2014-01-19 00:00:00,1639.15,227
383,2014-01-20 00:00:00,4476.09,692
384,2014-01-21 00:00:00,3566.52,570
385,2014-01-22 00:00:00,3781.28,616
386,2014-01-23 00:00:00,4098.18,652
387,2014-01-24 00:00:00,4647.32,705
388,2014-01-25 00:00:00,2134.27,300
389,2014-01-26 00:00:00,1836.01,238
390,2014-01-27 00:00:00,3306.9,570
391,2014-01-28 00:00:00,3354.79,534
392,2014-01-29 00:00:00,4094.06,640
393,2014-01-30 00:00:00,4257.57,700
394,2014-01-31 00:00:00,4592.15,710
395,2014-02-01 00:00:00,2862.53,394
396,2014-02-02 00:00:00,1470.3,214
397,2014-02-03 00:00:00,3708.86,628
398,2014-02-04 00:00:00,3896.8,609
399,2014-02-05 00:00:00,2597.87,402
400,2014-02-06 00:00:00,3926.06,626
401,2014-02-07 00:00:00,4462.21,705
402,2014-02-08 00:00:00,2732.34,400
403,2014-02-09 00:00:00,2346.33,308
404,2014-02-10 00:00:00,4145.28,687
405,2014-02-11 00:00:00,4106.45,662
406,2014-02-12 00:00:00,4583.77,718
407,2014-02-13 00:00:00,4548.17,723
408,2014-02-14 00:00:00,4527.18,646
409,2014-02-15 00:00:00,3052.83,395
410,2014-02-16 00:00:00,2154.65,272
411,2014-02-17 00:00:00,3802.99,593
412,2014-02-18 00:00:00,4788.0,702
413,2014-02-19 00:00:00,4571.02,733
414,2014-02-20 00:00:00,4241.79,690
415,2014-02-21 00:00:00,4972.98,808
416,2014-02-22 00:00:00,2694.7,409
417,2014-02-23 00:00:00,1969.88,272
418,2014-02-24 00:00:00,4178.81,697
419,2014-02-25 00:00:00,4403.49,729
420,2014-02-26 00:00:00,4474.09,694
421,2014-02-27 00:00:00,4689.97,730
422,2014-02-28 00:00:00,5583.14,825
423,2014-03-01 00:00:00,3103.22,413
424,2014-03-02 00:00:00,1194.14,165
425,2014-03-03 00:00:00,3813.82,622
426,2014-03-04 00:00:00,4116.8,676
427,2014-03-05 00:00:00,4475.67,738
428,2014-03-06 00:00:00,4559.62,737
429,2014-03-07 00:00:00,4689.57,739
430,2014-03-08 00:00:00,3101.47,410
431,2014-03-09 00:00:00,2118.0,285
432,2014-03-10 00:00:00,4372.07,735
433,2014-03-11 00:00:00,4674.2,745
434,2014-03-12 00:00:00,4033.31,642
435,2014-03-13 00:00:00,3819.51,606
436,2014-03-14 00:00:00,5259.36,824
437,2014-03-15 00:00:00,2974.37,440
438,2014-03-16 00:00:00,2120.81,290
439,2014-03-17 00:00:00,4228.83,706
440,2014-03-18 00:00:00,4443.47,800
441,2014-03-19 00:00:00,4260.38,712
442,2014-03-20 00:00:00,4785.53,764
443,2014-03-21 00:00:00,5179.24,826
444,2014-03-22 00:00:00,3282.83,449
445,2014-03-23 00:00:00,2113.53,280
446,2014-03-24 00:00:00,3943.1,672
447,2014-03-25 00:00:00,4004.51,682
448,2014-03-26 00:00:00,4823.79,789
449,2014-03-27 00:00:00,4420.37,715
450,2014-03-28 00:00:00,5070.39,797
451,2014-03-29 00:00:00,2789.38,421
452,2014-03-30 00:00:00,2274.27,297
453,2014-03-31 00:00:00,4413.61,714
454,2014-04-01 00:00:00,4412.14,736
455,2014-04-02 00:00:00,4340.61,700
456,2014-04-03 00:00:00,4387.99,695
457,2014-04-04 00:00:00,4557.21,729
458,2014-04-05 00:00:00,2961.9,418
459,2014-04-06 00:00:00,2066.98,298
460,2014-04-07 00:00:00,4282.66,721
461,2014-04-08 00:00:00,4395.95,721
462,2014-04-09 00:00:00,4586.85,732
463,2014-04-10 00:00:00,4894.83,809
464,2014-04-11 00:00:00,5593.47,864
465,2014-04-12 00:00:00,3625.75,518
466,2014-04-13 00:00:00,2355.74,307
467,2014-04-14 00:00:00,4386.77,732
468,2014-04-15 00:00:00,4585.12,774
469,2014-04-16 00:00:00,4689.24,775
470,2014-04-17 00:00:00,4777.92,764
471,2014-04-18 00:00:00,4900.83,765
472,2014-04-19 00:00:00,3090.99,462
473,2014-04-20 00:00:00,1076.82,165
474,2014-04-21 00:00:00,4275.98,710
475,2014-04-22 00:00:00,4528.02,743
476,2014-04-23 00:00:00,4734.74,771
477,2014-04-24 00:00:00,4913.99,806
478,2014-04-25 00:00:00,5158.76,794
479,2014-04-26 00:00:00,3467.67,494
480,2014-04-27 00:00:00,2295.75,307
481,2014-04-28 00:00:00,4463.42,724
482,2014-04-29 00:00:00,4730.23,783
483,2014-04-30 00:00:00,4843.4,778
484,2014-05-01 00:00:00,4938.0,796
485,2014-05-02 00:00:00,5588.29,856
486,2014-05-03 00:00:00,3533.9,492
487,2014-05-04 00:00:00,2650.61,345
488,2014-05-05 00:00:00,4519.37,766
489,2014-05-06 00:00:00,4802.38,763
490,2014-05-07 00:00:00,5322.83,823
491,2014-05-08 00:00:00,5350.87,841
492,2014-05-09 00:00:00,5270.45,846
493,2014-05-10 00:00:00,3430.81,454
494,2014-05-11 00:00:00,2026.61,285
495,2014-05-12 00:00:00,4984.97,808
496,2014-05-13 00:00:00,4835.54,770
497,2014-05-14 00:00:00,4619.08,760
498,2014-05-15 00:00:00,4637.6,764
499,2014-05-16 00:00:00,5261.16,799
500,2014-05-17 00:00:00,3456.39,480
501,2014-05-18 00:00:00,2183.47,318
502,2014-05-19 00:00:00,4860.45,783
503,2014-05-20 00:00:00,4559.78,752
504,2014-05-21 00:00:00,5251.62,810
505,2014-05-22 00:00:00,5049.71,803
506,2014-05-23 00:00:00,5288.77,821
507,2014-05-24 00:00:00,3062.47,423
508,2014-05-25 00:00:00,2199.49,301
509,2014-05-26 00:00:00,1751.29,261
510,2014-05-27 00:00:00,4639.04,776
511,2014-05-28 00:00:00,4773.42,782
512,2014-05-29 00:00:00,5067.36,796
513,2014-05-30 00:00:00,5511.61,862
514,2014-05-31 00:00:00,3117.73,447
515,2014-06-01 00:00:00,2389.56,342
516,2014-06-02 00:00:00,4507.04,745
517,2014-06-03 00:00:00,4855.55,806
518,2014-06-04 00:00:00,4861.07,798
519,2014-06-05 00:00:00,5214.57,838
520,2014-06-06 00:00:00,5481.98,832
521,2014-06-07 00:00:00,3040.34,445
522,2014-06-08 00:00:00,2186.25,291
523,2014-06-09 00:00:00,4824.3,798
524,2014-06-10 00:00:00,4722.16,774
525,2014-06-11 00:00:00,5062.64,831
526,2014-06-12 00:00:00,5130.97,798
527,2014-06-13 00:00:00,5817.02,832
528,2014-06-14 00:00:00,2975.81,436
529,2014-06-15 00:00:00,1967.39,265
530,2014-06-16 00:00:00,4549.82,754
531,2014-06-17 00:00:00,4875.35,778
532,2014-06-18 00:00:00,4776.13,766
533,2014-06-19 00:00:00,5047.96,788
534,2014-06-20 00:00:00,5693.83,853
535,2014-06-21 00:00:00,3055.76,451
536,2014-06-22 00:00:00,2415.3,339
537,2014-06-23 00:00:00,4574.66,759
538,2014-06-24 00:00:00,4609.57,746
539,2014-06-25 00:00:00,5081.03,824
540,2014-06-26 00:00:00,4895.98,796
541,2014-06-27 00:00:00,5591.09,884
542,2014-06-28 00:00:00,3005.28,425
543,2014-06-29 00:00:00,2335.29,318
544,2014-06-30 00:00:00,4602.91,753
545,2014-07-01 00:00:00,4864.15,795
546,2014-07-02 00:00:00,4762.34,764
547,2014-07-03 00:00:00,5431.86,810
548,2014-07-04 00:00:00,1884.29,270
549,2014-07-05 00:00:00,2353.96,336
550,2014-07-06 00:00:00,1817.2,257
551,2014-07-07 00:00:00,4422.43,698
552,2014-07-08 00:00:00,4623.59,764
553,2014-07-09 00:00:00,4970.94,802
554,2014-07-10 00:00:00,5016.38,769
555,2014-07-11 00:00:00,5610.13,824
556,2014-07-12 00:00:00,3014.82,419
557,2014-07-13 00:00:00,2125.0,292
558,2014-07-14 00:00:00,4617.82,745
559,2014-07-15 00:00:00,4892.99,789
560,2014-07-16 00:00:00,5020.99,761
561,2014-07-17 00:00:00,5155.25,802
562,2014-07-18 00:00:00,5461.33,797
563,2014-07-19 00:00:00,2743.31,387
564,2014-07-20 00:00:00,2128.82,310
565,2014-07-21 00:00:00,4461.33,722
566,2014-07-22 00:00:00,4750.24,738
567,2014-07-23 00:00:00,4536.11,717
568,2014-07-24 00:00:00,4854.41,759
569,2014-07-25 00:00:00,5162.22,754
570,2014-07-26 00:00:00,2569.73,354
571,2014-07-27 00:00:00,2033.76,274
572,2014-07-28 00:00:00,4455.77,715
573,2014-07-29 00:00:00,4455.95,729
574,2014-07-30 00:00:00,4640.24,767
575,2014-07-31 00:00:00,5571.13,865
576,2014-08-01 00:00:00,5985.87,879
577,2014-08-02 00:00:00,3045.9,396
578,2014-08-03 00:00:00,2242.8,330
579,2014-08-04 00:00:00,5080.42,799
580,2014-08-05 00:00:00,4873.02,808
581,2014-08-06 00:00:00,4800.4,814
582,2014-08-07 00:00:00,4948.88,788
583,2014-08-08 00:00:00,5058.63,763
584,2014-08-09 00:00:00,2800.17,415
585,2014-08-10 00:00:00,2110.31,315
586,2014-08-11 00:00:00,4232.22,709
587,2014-08-12 00:00:00,4454.14,717
