aX,aY,aZ,gX,gY,gZ
-0.045,-0.790,0.463,-3.967,-26.611,15.564
-0.052,-0.882,0.441,-5.676,-42.603,18.494
0.023,-0.830,0.499,-5.188,-53.772,23.682
0.002,-0.746,0.418,-1.221,-60.364,29.785
-0.070,-0.697,0.386,10.986,-58.594,27.588
-0.079,-0.816,0.452,24.048,-56.763,17.883
-0.001,-0.796,0.519,30.029,-60.181,10.620
-0.012,-0.860,0.463,31.616,-60.364,7.935
-0.132,-0.772,0.554,32.593,-66.833,7.446
-0.251,-0.802,0.900,42.236,-67.200,6.714
-0.223,-0.839,0.793,48.767,-40.039,4.761
-0.215,-0.816,0.660,58.350,-16.602,2.869
-0.269,-0.803,0.565,56.458,-13.794,-0.305
-0.328,-0.714,0.450,36.438,-17.822,-5.066
-0.308,-0.623,0.391,19.104,-18.677,-12.451
-0.247,-0.668,0.410,17.395,-17.212,-17.700
-0.140,-0.760,0.436,19.897,-13.306,-15.320
-0.057,-0.845,0.407,19.287,-5.981,0.854
,,,,,
-0.808,-0.401,-1.545,120.605,-59.631,-31.555
-0.805,-0.465,-1.577,87.830,-45.898,-8.179
-0.721,-0.468,-1.557,42.664,-44.067,11.108
-0.635,-0.468,-1.417,-9.155,-55.115,23.437
-0.599,-0.470,-1.190,-45.532,-74.219,28.503
-0.568,-0.502,-0.976,-60.181,-89.661,29.907
-0.575,-0.576,-0.734,-62.683,-91.309,28.687
-0.554,-0.638,-0.603,-59.021,-73.181,29.114
-0.475,-0.724,-0.558,-48.584,-42.725,32.227
-0.377,-0.809,-0.552,-37.964,-11.658,34.485
-0.279,-0.849,-0.585,-34.302,11.414,35.217
-0.212,-0.850,-0.586,-36.987,20.386,33.020
-0.213,-0.848,-0.583,-42.664,16.052,28.687
-0.215,-0.829,-0.632,-50.476,6.226,23.376
-0.248,-0.827,-0.703,-58.105,-6.226,17.944
-0.277,-0.823,-0.716,-59.387,-19.348,13.672
-0.297,-0.776,-0.712,-57.190,-24.963,9.155
-0.298,-0.751,-0.738,-54.321,-21.057,2.747
-0.313,-0.730,-0.782,-53.345,-13.000,-3.784
-0.363,-0.709,-0.823,-53.711,-6.042,-9.338
-0.426,-0.677,-0.832,-56.396,-2.563,-12.390
-0.472,-0.648,-0.838,-62.256,0.366,-11.414
-0.488,-0.619,-0.806,-68.970,3.540,-7.629
-0.498,-0.599,-0.736,-76.172,8.423,-3.052
-0.483,-0.583,-0.691,-84.351,17.334,0.366
-0.466,-0.590,-0.625,-90.393,28.809,3.113
-0.441,-0.605,-0.575,-94.360,42.908,4.578
-0.414,-0.600,-0.517,-96.313,58.411,5.005
-0.403,-0.626,-0.485,-96.680,71.716,5.371
-0.402,-0.650,-0.504,-96.863,80.078,6.775
-0.419,-0.641,-0.466,-97.778,78.674,10.864
-0.431,-0.614,-0.426,-104.675,70.618,17.700
-0.437,-0.589,-0.389,-117.981,61.035,24.475
-0.445,-0.565,-0.348,-133.545,51.514,29.419
-0.460,-0.568,-0.255,-147.705,44.556,33.264
-0.461,-0.542,-0.118,-158.020,45.349,38.818
-0.471,-0.537,-0.010,-163.330,57.068,45.959
-0.480,-0.554,0.051,-163.574,76.294,54.626
-0.464,-0.568,0.171,-162.720,93.140,68.054
-0.427,-0.562,0.304,-166.443,107.544,82.092
-0.393,-0.561,0.506,-168.396,119.568,92.957
-0.328,-0.592,0.677,-164.795,127.014,103.943
-0.219,-0.637,0.711,-158.203,127.625,112.000
-0.151,-0.711,0.694,-150.269,113.342,116.089
-0.093,-0.736,0.750,-142.029,86.060,118.896
-0.011,-0.744,0.785,-138.489,63.171,118.347
0.055,-0.744,0.759,-137.573,52.246,109.314
0.113,-0.785,0.763,-131.836,49.194,96.191
0.157,-0.784,0.731,-125.244,54.016,85.022
0.167,-0.740,0.703,-124.084,62.439,73.975
0.131,-0.702,0.718,-127.258,63.904,66.772
0.123,-0.697,0.876,-135.193,58.777,65.735
0.116,-0.661,1.055,-146.667,58.472,67.383
0.171,-0.639,1.128,-148.865,57.556,73.669
0.245,-0.671,1.106,-133.057,46.692,81.238
0.295,-0.724,1.057,-110.596,29.602,81.482
0.269,-0.757,1.051,-92.712,16.907,69.824
0.275,-0.798,0.976,-78.125,17.334,51.270
0.264,-0.758,0.898,-63.171,22.400,33.691
0.215,-0.695,0.826,-51.636,22.034,19.104
0.145,-0.663,0.749,-47.119,10.498,10.620
