aX,aY,aZ,gX,gY,gZ
0.436,-0.293,0.810,0.549,-0.793,-1.648
0.447,-0.275,0.819,0.305,-0.305,-1.099
0.453,-0.256,0.817,0.488,1.099,-1.343
0.455,-0.242,0.813,0.549,1.892,-2.930
0.454,-0.238,0.810,0.061,1.465,-4.822
0.454,-0.238,0.802,0.244,0.793,-5.066
0.446,-0.236,0.795,0.488,0.061,-4.700
0.425,-0.239,0.805,0.061,-1.221,-4.639
0.420,-0.246,0.825,-1.160,-3.296,-3.967
0.418,-0.248,0.837,-1.953,-4.639,-2.319
0.416,-0.241,0.841,-2.014,-4.395,-0.793
0.414,-0.239,0.837,-2.258,-3.601,-0.183
0.413,-0.237,0.834,-3.235,-3.479,-0.122
0.427,-0.215,0.836,-4.333,-3.235,0.183

-0.210,1.791,0.937,-32.227,-68.481,103.149
-0.067,1.840,1.042,-41.504,-71.350,96.558
0.137,1.767,1.113,-55.603,-68.481,98.022
0.405,1.648,1.129,-73.425,-54.016,108.704
0.604,1.524,1.096,-87.646,-28.687,120.850
0.722,1.404,1.062,-91.614,-2.991,125.793
0.795,1.266,1.048,-85.815,14.587,119.568
0.827,1.118,1.014,-74.219,24.841,105.042
0.811,0.991,0.985,-57.739,27.283,86.365
0.786,0.878,0.960,-37.781,23.132,65.308
0.748,0.800,0.926,-17.700,16.541,43.213
0.668,0.740,0.895,-1.160,12.756,20.203
0.600,0.711,0.859,10.437,11.047,0.305
0.576,0.718,0.819,17.700,11.414,-12.451
0.544,0.723,0.774,22.461,12.085,-21.301
0.498,0.806,0.771,24.536,11.414,-31.372
0.465,0.974,0.846,24.353,7.996,-44.800
0.415,1.137,0.933,25.452,3.540,-58.899
0.329,1.258,0.986,27.222,3.174,-70.496
0.244,1.305,0.981,32.043,9.338,-79.407
0.161,1.293,0.967,40.588,21.240,-86.121
0.108,1.336,0.976,47.180,31.250,-94.360
0.031,1.324,0.950,53.833,35.645,-103.882
-0.034,1.252,0.902,66.589,36.194,-111.389
-0.117,1.145,0.851,83.740,37.354,-116.638
-0.165,0.968,0.782,98.022,40.222,-119.324
-0.167,0.702,0.680,105.408,43.701,-117.981
-0.193,0.468,0.608,103.760,42.725,-113.525
-0.188,0.298,0.611,95.520,35.950,-108.032
-0.205,0.130,0.657,82.520,25.818,-100.952
-0.235,0.046,0.745,70.190,18.982,-91.064
-0.214,0.009,0.802,62.683,16.113,-78.796
-0.116,-0.125,0.812,61.157,16.113,-67.078
0.014,-0.302,0.791,58.716,20.447,-59.387
0.093,-0.447,0.758,50.842,28.503,-56.519
0.159,-0.534,0.726,40.161,36.865,-55.664
0.248,-0.612,0.703,31.250,42.358,-53.894
0.319,-0.699,0.692,26.611,44.495,-50.598
0.344,-0.769,0.678,25.757,44.434,-47.119
0.325,-0.825,0.703,26.794,40.649,-43.823
0.335,-0.888,0.736,28.809,33.142,-37.292
0.371,-0.947,0.733,30.273,27.649,-26.672
0.411,-0.979,0.732,28.076,26.123,-15.625
0.459,-0.993,0.746,21.606,25.818,-6.165
0.488,-0.981,0.768,12.268,25.940,0.732
0.535,-0.927,0.805,2.380,25.635,4.700
0.582,-0.869,0.854,-6.775,23.621,2.563
0.606,-0.861,0.887,-11.902,21.118,-1.953
0.649,-0.870,0.889,-11.963,20.081,-6.287
0.714,-0.874,0.844,-9.705,18.860,-8.728
0.795,-0.875,0.777,-5.798,15.198,-9.094
0.858,-0.875,0.738,-2.808,7.141,-8.972
0.853,-0.851,0.746,-2.808,-4.700,-10.620
